Id,Issue Date,Description,Denomination
1,23-Jan-21,125th Birth Anniversary Year of Netaji Subhas Chandra Bose,25
2,25-Jan-21,50 Years of full Statehood of Himachal Pradesh,5
3,6-Feb-21,The High Court Of Gujarat,5
4,23-Mar-21,100 Years of First Visit of Mahatma Gandhi to Odisha,5
5,27-Mar-21,Golden Jubilee Year of India Bangladesh Friendship,5
6,12-Apr-21,Rajyogini Dadi Janki,5
7,10-Jun-21,70 Years of Diplomatic relations between India and Germany,5
8,20-Jun-21,"Golden Jubilee Year - Gayatri Teerth, Shantikunj",5
9,7-Aug-21,Ma. Chaman Lal,5
10,17-Sep-21,Rao Jaimal Rathore,5
11,2-Oct-21,"Martyrs of Solapur namely ""Mallappa Dhanshetty, Shrikisan Sarada, Jagannath Shinde and Abdul Rasul Kurban Hussain""",5
12,6-Oct-21,Deccan College Bicentenary,5
13,10-Nov-21,Dattopant Thengadi,5
14,27-Nov-21,"S.C.B. Medical College & Hospital, Cuttack",5
15,1-Dec-21,75 Years of Mahindra Group,12
16,16-Dec-21,Swarnim Vijay Varsha,5
1,15-Jan-22,Permanent Commission to Women Officers in Indian Army,10.00 (2); 15.00 (2)
2,16-Jan-22,Department of Health Research,5
3,21-Jan-22,50 Years of full Statehood of Manipur,5
4,21-Jan-22,50 Years of full Statehood of Meghalaya,5
5,21-Jan-22,50 Years of full Statehood of Tripura,5
6,5-Feb-22,50th Anniversary of ICRISAT,5
7,16-Feb-22,Delhi Police - Platinum Jubilee,5
8,18-Feb-22,Joint celebrations of the year of 50th Anniversary of UAE's formation and the 75th Anniversary of the Independence of India,25
9,20-Feb-22,50 Years of Arunachal Pradesh,5
10,21-Feb-22,President's Fleet Review 2022,5
11,13-Mar-22,"Rashtriya Indian Military College, Deharadun",5
15,,36th International Geological Congress (Set of 2 Stamps),
12,20-Mar-22,Amethyst,5.00 each
13,20-Mar-22,Himalayas,10.00 each
14,3-Apr-22,Sankirtana,25
15,3-Apr-22,Kushtdepdi,25
16,18-Apr-22,Pandurang Vaman Kane,5
17,21-Apr-22,Prakash GuruParab Sri Guru Tegh Bahadur Sahib Ji,25
18,1-May-22,University of Delhi Centenary Year,10
19,14-Jun-22,Mumbai Samachar,5
20,29-Jun-22,Karpatri Maharaj,5
21,20-Jul-22,44th FIDE Chess Olympiad Chennai 2022,5
22,30-Jul-22,Right to Free Legal Aid,5
23,2-Aug-22,Journey of the National Flag,75
24,20-Aug-22,Ondiveeran,5
25,1-Sep-22,2nd International Tiger Forum,5
26,11-Oct-22,Sawai Gandharva,5
27,12-Oct-22,Golden Jubilee of Pincode,5
28,18-Oct-22,90th General Assembly of INTERPOL,5
29,26-Oct-22,150th Birth Anniversary of Vijay Vallabh Surishwer,5
30,3-Nov-22,Platinum Jubilee Assam Medical College,5
31,25-Nov-22,175 Years of IIT Roorkee,5
32,12-Dec-22,Pa Togan Nengminza Sangma,5
33,13-Dec-22,150th Birth Anniversary of Sri Aurobindo,150
34,13-Dec-22,125 Years Sardar School Jodhpur,5
35,31-Dec-22,Visamanbapu,5
1,9-Jan-23,Surakshit Jayen Prashishit Jayen,5
2,23-Jan-23,Major Durga Mall,5
3,2-Feb-23,150th Birth Anniversary of Ram Chandra Maharaj,5
4,4-Feb-23,General K. S. Thimayya,5
5,12-Feb-23,Bridal Costumes of India,
6,13-Feb-23,Geographical Indications: Agricultural Goods,5
7,20-Feb-22,Rao Birender Singh,5
8,24-Feb-23,"225 Glorious Years 2nd Battalion, Parachute Regiment (Special Forces)",5
9,2-Mar-23,75 Years of 1 Central Base Post Office,5
10,14-Mar-23,75 Years of India – Luxembourg Friendship,5
11,18-Mar-23,International Year of Millets (Shree Anna),5
12,30-Mar-23,Akshaya Mohanty,10
13,30-Mar-23,Kelucharan Mohapatra,10
14,30-Mar-23,Laxmikanta Mohapatra,10
15,30-Mar-23,Parbati Ghose,10
16,3-Apr-23,Diamond Jubilee of CBI,5
17,5-Apr-23,Gauhati High Court,5
18,7-Apr-23,Dayanand Saraswati,5
19,19-Apr-23,75th Year of Indian Army Day,5
20,26-Apr-23,Mann Ki Baat,5
21,22-May-23,250th Birth Anniversary of Raja Ram Mohan Roy,5
22,28-May-23,Parliament Complex,75
23,15-Jun-23,SCO Council of Heads of State,5
24,20-Jun-23,"Raj Bhavan, Uttar Pradesh",10
25,4-Jul-23,Sardar Antaji Mankeshwar Gandhe,5
26,26-Jul-23,Orissa High Court,5
27,26-Jul-23,"G20 Leaders' Summit, New Delhi 2023",20
28,12-Sep-23,Dada J P Vaswani,5
29,5-Oct-23,500th Birth Anniversary of Rani Durgavati,5
30,7-Oct-23,Hemachandra Vikramaditya,5
31,16-Oct-23,Vovinam,5
32,16-Oct-23,Kalaripayattu,25
33,21-Oct-23,125th anniversary of the Scindia School,5
34,27-Oct-23,Arvind N. Mafatlal,20
35,2-Nov-23,75th Anniversary of Diplomatic Relations between India and Mauritius,20
36,7-Nov-23,525th Birth Anniversary of Meera Bai,
37,23-Nov-23,75 Glorious Years of National Defence Academy,5
38,5-Dec-23,125 Years of Hindu College,10

